provider_id,claim_count,total_claim_amount,average_claim_amount,total_payment_amount,average_payment_amount,missing_payment_claims,payment_date_issues,missing_payment_rate,payment_date_issue_rate,risk_score,risk_category,name,specialty,state
1,36,1120236.5051389304,31117.680698303622,702136.766949612,26005.06544257822,9,17,0.25,0.4722222222222222,36.111111111111114,Medium,Eaton-Gibson,Orthopedic,South Carolina
2,39,946428.0,24267.384615384617,505120.5770573328,22960.026229878764,17,13,0.4358974358974359,0.3333333333333333,38.46153846153846,Medium,Lewis Ltd,General Practitioner,Connecticut
3,36,841816.0,23383.777777777777,466126.3350996651,19421.930629152714,12,13,0.3333333333333333,0.3611111111111111,34.722222222222214,Medium,Wise Ltd,Dermatologist,Vermont
4,42,1647914.6951471092,39236.064170169266,930951.8614195912,28210.66246726034,9,18,0.21428571428571427,0.42857142857142855,32.14285714285714,Medium,"Reed, Duncan and Hill",Orthopedic,Oregon
5,49,1252602.0,25563.30612244898,858810.03647437,23211.082066874867,12,14,0.24489795918367346,0.2857142857142857,26.53061224489796,Medium,"Rodriguez, Moses and Duffy",Orthopedic,California
6,41,1024752.0,24993.951219512193,770652.4915630375,22666.249751854044,7,19,0.17073170731707318,0.4634146341463415,31.707317073170735,Medium,"Cohen, Clark and Campbell",General Practitioner,Virginia
7,39,901033.0,23103.410256410258,648658.0829750958,20924.45428951922,8,16,0.20512820512820512,0.41025641025641024,30.769230769230766,Medium,Perkins-Ramirez,Dermatologist,Ohio
8,41,1110075.0,27075.0,636829.3842963974,22743.906582014195,13,14,0.3170731707317073,0.34146341463414637,32.926829268292686,Medium,Taylor Group,Cardiologist,California
9,33,825310.0,25009.39393939394,486319.6669386631,23158.079378031576,12,11,0.36363636363636365,0.3333333333333333,34.848484848484844,Medium,Carroll-Velasquez,Oncologist,Oregon
10,33,886288.0,26857.21212121212,498124.1945272638,22642.008842148356,11,11,0.3333333333333333,0.3333333333333333,33.33333333333333,Medium,Davis LLC,General Practitioner,South Dakota
11,42,972651.0,23158.35714285714,533194.2350146567,17773.141167155223,12,13,0.2857142857142857,0.30952380952380953,29.76190476190476,Medium,Vasquez LLC,General Practitioner,Vermont
12,33,832263.0,25220.090909090908,572105.2381246247,24874.14078802716,10,11,0.30303030303030304,0.3333333333333333,31.818181818181817,Medium,Baker-Best,Oncologist,Oregon
13,28,723198.0,25828.5,393360.67217281484,20703.19327225341,9,10,0.32142857142857145,0.35714285714285715,33.92857142857143,Medium,"Morrison, Spencer and Crawford",Orthopedic,North Dakota
14,41,1106511.0,26988.073170731706,778815.8976282673,24337.996800883353,9,19,0.21951219512195122,0.4634146341463415,34.146341463414636,Medium,"Price, Clarke and Lindsey",General Practitioner,Michigan
15,44,1122274.0,25506.227272727272,810358.4264469823,23153.097898485208,9,19,0.20454545454545456,0.4318181818181818,31.81818181818182,Medium,Jones-Cook,Cardiologist,Michigan
16,44,1145080.09935531,26024.547712620682,700554.1182479507,21892.31619524846,12,12,0.2727272727272727,0.2727272727272727,27.27272727272727,Medium,"Hopkins, Reed and Smith",Dermatologist,Texas
17,41,1138759.0400083929,27774.61073191202,765623.8618020623,22518.348876531243,7,18,0.17073170731707318,0.43902439024390244,30.487804878048784,Medium,"Wilson, Rivera and Bennett",Orthopedic,Virginia
18,38,923514.0877435037,24303.002309039573,529926.7440187318,22080.28100078049,14,10,0.3684210526315789,0.2631578947368421,31.578947368421048,Medium,"Adkins, Sosa and Mueller",General Practitioner,Indiana
19,45,1077961.7963713668,23954.706586030374,668129.7229836017,21552.571709148444,14,17,0.3111111111111111,0.37777777777777777,34.44444444444444,Medium,Floyd-Johnson,Cardiologist,Connecticut
20,42,1103747.0,26279.690476190477,821547.8454566926,24163.171925196842,8,13,0.19047619047619047,0.30952380952380953,25.0,Medium,"Williams, Webb and Nash",Oncologist,Tennessee
21,32,954616.9409494194,29831.779404669356,414663.0548580772,24391.944403416306,15,11,0.46875,0.34375,40.625,Medium,"Byrd, Beck and Mendoza",Orthopedic,Idaho
22,51,1421365.0,27869.901960784315,884769.4270760034,25279.126487885813,16,15,0.3137254901960784,0.29411764705882354,30.392156862745097,Medium,"Barton, Ramirez and Norris",Cardiologist,Oklahoma
23,51,1398344.5354473398,27418.520302889014,999322.3330812544,23793.388882887008,9,19,0.17647058823529413,0.37254901960784315,27.450980392156865,Medium,Newton Inc,General Practitioner,Texas
24,32,849090.0,26534.0625,477868.8607740626,23893.443038703128,12,11,0.375,0.34375,35.9375,Medium,Elliott Inc,Oncologist,Maine
25,44,1143109.0,25979.75,723981.87364811,22624.433551503436,12,17,0.2727272727272727,0.38636363636363635,32.95454545454545,Medium,Cunningham-Browning,General Practitioner,Mississippi
26,39,871674.0,22350.615384615383,553435.6655274276,17294.86454773211,7,18,0.1794871794871795,0.46153846153846156,32.05128205128205,Medium,Richards-Frazier,Dermatologist,Hawaii
